Property_ID,Property_Name,Listing_Type,Property_Type,County,Estate,Sub_Location,Price_KES,Price_Category,Bedrooms,Bathrooms,Size_SQM,Furnished,Parking,Security_Rating,Water_Supply,Electricity,Internet,Pets_Allowed,Swimming_Pool,Gym,Garden,Balcony,Elevator,School_Nearby,Hospital_Nearby,Shopping_Centre,Public_Transport,Distance_CBD_KM,Family_Friendly,Student_Friendly,Traffic_Level,Noise_Level,Flood_Risk,Gated_Community,CCTV,Latitude,Longitude,Google_Maps_Link,Interactive_StreetView_Link,Image_Path
P011,Seasons Court Kasarani,Rent,Apartment,Nairobi,Kasarani,Kasarani,15000,Budget,1,1,30,Unfurnished,Yes,Average,Occasional Outages,Occasional Outages,Fibre,No,No,No,No,No,No,No,No,TRM Mall,Excellent,13.0,No,Yes,High,High,Medium,No,No,-1.212825,36.901944,"https://www.google.com/maps?q=-1.212825,36.901944","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.212825,36.901944",images/Seasons Court Kasarani - P011.png
P012,ICIPE View Apartments,Rent,Apartment,Nairobi,Kasarani,Seasons Road,21000,Budget,1,1,40,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,Yes,No,Yes,Seasons Centre,Excellent,12.5,No,Yes,Medium,Medium,Medium,No,Yes,-1.226792,36.885664,"https://www.google.com/maps?q=-1.226792,36.885664","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.226792,36.885664",images/ICIPE View Apartments - P012.png
P013,Thika Road Gardens,Rent,House,Nairobi,Kasarani,Off Thika Highway,200000,Luxury,4,4,250,Fully,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Garden City Mall,Excellent,10.0,Yes,No,High,Low,Medium,Yes,Yes,-1.208284,36.891098,"https://www.google.com/maps?q=-1.208284,36.891098","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.208284,36.891098",images/Thika Road Gardens - P013.png
P014,Mwiki Plaza Residences,Rent,Apartment,Nairobi,Kasarani,Off Kasarani-Mwiki Road,35000,Budget,2,2,70,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,No,No,Yes,Naivas Kasarani,Excellent,14.0,Yes,Yes,High,High,Medium,Yes,Yes,-1.234218,36.883901,"https://www.google.com/maps?q=-1.234218,36.883901","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.234218,36.883901",images/Mwiki Plaza Residences - P014.png
P015,Argwings Kodhek Court,Rent,Apartment,Nairobi,Kilimani,Kilimani,90000,Mid-range,3,2,110,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Yaya Centre,Good,5.0,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.277575,36.789112,"https://www.google.com/maps?q=-1.277575,36.789112","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.277575,36.789112",images/Argwings Kodhek Court - P015.png
P016,Gatundu Heights Kileleshwa,Rent,Apartment,Nairobi,Kileleshwa,Kileleshwa,100000,Mid-range,3,3,160,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Kasuku Center,Good,6.0,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.265786,36.787892,"https://www.google.com/maps?q=-1.265786,36.787892","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.265786,36.787892",images/Gatundu Heights Kileleshwa - P016.png
P017,Valley View Residency,Rent,Apartment,Nairobi,Kileleshwa,Kileleshwa,85000,Mid-range,2,2,110,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Kasuku Center,Good,5.8,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.273913,36.795193,"https://www.google.com/maps?q=-1.273913,36.795193","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.273913,36.795193",images/Valley View Residency - P017.png
P018,Gatundu Road Court,Rent,Apartment,Nairobi,Kileleshwa,Gatundu Road,200000,Luxury,3,3,180,Unfurnished,Yes,Excellent,Borehole Backup,Backup Generator,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Kasuku Center,Good,5.5,Yes,No,Medium,Low,Low,Yes,Yes,-1.278644,36.782561,"https://www.google.com/maps?q=-1.278644,36.782561","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.278644,36.782561",images/Gatundu Road Court - P018.png
P019,Elgeyo Marakwet Duplexes,Rent,Apartment,Nairobi,Kileleshwa,Kileleshwa,300000,Luxury,5,5+,320,Unfurnished,Yes,Excellent,Borehole Backup,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Lavington Mall,Good,6.2,Yes,No,Medium,Low,Medium,Yes,Yes,-1.265118,36.784556,"https://www.google.com/maps?q=-1.265118,36.784556","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.265118,36.784556",images/Elgeyo Marakwet Duplexes - P019.png
P020,Kileleshwa Heights Suite,Rent,Apartment,Nairobi,Kileleshwa,Kileleshwa,55000,Budget,1,1,55,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,Yes,No,Yes,Yes,Yes,Yes,Kasuku Center,Excellent,5.2,No,Yes,Medium,Medium,Low,Yes,Yes,-1.264149,36.783321,"https://www.google.com/maps?q=-1.264149,36.783321","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.264149,36.783321",images/Kileleshwa Heights Suite - P020.png
P021,Runda Meadows Villa,Sale,Villa,Nairobi,Runda,Runda,350000000,Luxury,4,5+,800,Unfurnished,Yes,Excellent,Borehole Backup,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Village Market,Poor,10.0,Yes,No,Low,Low,Low,Yes,Yes,-1.211863,36.801375,"https://www.google.com/maps?q=-1.211863,36.801375","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.211863,36.801375",images/Runda Meadows Villa - P021.png
P022,Mimosa Court Runda,Sale,House,Nairobi,Runda,Runda,135000000,Luxury,4,5+,450,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Two Rivers Mall,Poor,11.5,Yes,No,Low,Low,Low,Yes,Yes,-1.226163,36.808682,"https://www.google.com/maps?q=-1.226163,36.808682","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.226163,36.808682",images/Mimosa Court Runda - P022.png
P023,Faith Avenue Manor,Sale,Villa,Nairobi,Runda,Faith Avenue,96500000,Luxury,5,5+,450,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Village Market,Poor,9.5,Yes,No,Low,Low,Low,Yes,Yes,-1.230606,36.806984,"https://www.google.com/maps?q=-1.230606,36.806984","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.230606,36.806984",images/Faith Avenue Manor - P023.png
P024,Paradise Lost Villas,Sale,House,Nairobi,Runda,Paradise Lost,55000000,Mid-range,4,4,300,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Ciata City Mall,Poor,13.0,Yes,No,Low,Low,Low,Yes,Yes,-1.22997,36.808339,"https://www.google.com/maps?q=-1.22997,36.808339","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.22997,36.808339",images/Paradise Lost Villas - P024.png
P025,Mae Ridge Townhouses,Sale,House,Nairobi,Runda,Runda,38000000,Mid-range,4,4,280,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Two Rivers Mall,Poor,12.0,Yes,No,Low,Low,Low,Yes,Yes,-1.213929,36.810945,"https://www.google.com/maps?q=-1.213929,36.810945","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.213929,36.810945",images/Mae Ridge Townhouses - P025.png
P026,The Alma Apartments,Rent,Apartment,Nairobi,Ruaka,Ruaka,55000,Budget,2,2,85,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Rivers Mall,Good,14.0,Yes,Yes,High,High,Low,Yes,Yes,-1.199895,36.767285,"https://www.google.com/maps?q=-1.199895,36.767285","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.199895,36.767285",images/The Alma Apartments - P026.png
P027,Ruaka Square Studios,Rent,Apartment,Nairobi,Ruaka,Ruaka,70000,Mid-range,0,1,45,Fully,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Rivers Mall,Good,13.5,No,Yes,High,High,Low,Yes,Yes,-1.202991,36.7891,"https://www.google.com/maps?q=-1.202991,36.7891","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.202991,36.7891",images/Ruaka Square Studios - P027.png
P028,Heritage Heights Ruaka,Rent,House,Nairobi,Ruaka,Ruaka,150000,Mid-range,4,4,260,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Two Rivers Mall,Good,15.0,Yes,No,Medium,Low,Low,Yes,Yes,-1.191559,36.779274,"https://www.google.com/maps?q=-1.191559,36.779274","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.191559,36.779274",images/Heritage Heights Ruaka - P028.png
P029,Runda View Residency,Rent,Apartment,Nairobi,Ruaka,Mbaya Drive,45300,Budget,2,2,80,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,Yes,Yes,No,Two Rivers Mall,Good,14.5,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.205866,36.782874,"https://www.google.com/maps?q=-1.205866,36.782874","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.205866,36.782874",images/Runda View Residency - P029.png
P030,Temus Road Court,Rent,Apartment,Nairobi,Ruaka,Temus Road,51000,Budget,3,2,100,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,Yes,Yes,No,Two Rivers Mall,Good,14.2,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.206098,36.772384,"https://www.google.com/maps?q=-1.206098,36.772384","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.206098,36.772384",images/Temus Road Court - P030.png
P031,Lavington Green Villas,Rent,House,Nairobi,Lavington,Lavington Green,250000,Luxury,4,4,350,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Lavington Mall,Good,7.0,Yes,No,Medium,Low,Low,Yes,Yes,-1.269314,36.7682,"https://www.google.com/maps?q=-1.269314,36.7682","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.269314,36.7682",images/Lavington Green Villas - P031.png
P032,Gitanga Duplexes Lavington,Rent,House,Nairobi,Lavington,Lavington,420000,Luxury,5,5+,480,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Lavington Mall,Good,7.5,Yes,No,Medium,Low,Medium,Yes,Yes,-1.282292,36.769538,"https://www.google.com/maps?q=-1.282292,36.769538","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.282292,36.769538",images/Gitanga Duplexes Lavington - P032.png
P033,Valley Arcade Residency,Rent,Apartment,Nairobi,Lavington,Lavington,95000,Mid-range,2,2,100,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Valley Arcade,Good,6.8,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.273714,36.77228,"https://www.google.com/maps?q=-1.273714,36.77228","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.273714,36.77228",images/Valley Arcade Residency - P033.png
P034,Lavington Heights Apartments,Rent,Apartment,Nairobi,Lavington,Lavington,170000,Luxury,3,2,140,Unfurnished,Yes,Good,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Lavington Mall,Good,7.2,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.292129,36.749963,"https://www.google.com/maps?q=-1.292129,36.749963","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.292129,36.749963",images/Lavington Heights Apartments - P034.png
P035,Sore Road Suites,Rent,Apartment,Nairobi,South B,Sore Rd,35000,Budget,1,1,50,Unfurnished,Yes,Good,Borehole Backup,Reliable,Fibre,Yes,No,No,No,Yes,No,Yes,Yes,Capital Centre,Good,4.5,No,Yes,Medium,Medium,High,Yes,Yes,-1.319536,36.821032,"https://www.google.com/maps?q=-1.319536,36.821032","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.319536,36.821032",images/Sore Road Suites - P035.png
P036,Golden Gate Court South B,Rent,Apartment,Nairobi,South B,South B,40000,Budget,2,2,75,Unfurnished,Yes,Good,Borehole Backup,Reliable,Fibre,Yes,No,No,No,Yes,No,Yes,Yes,Capital Centre,Good,4.8,Yes,Yes,Medium,Medium,High,Yes,Yes,-1.322671,36.841287,"https://www.google.com/maps?q=-1.322671,36.841287","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.322671,36.841287",images/Golden Gate Court South B - P036.png
P037,Plainsview Residency,Rent,Apartment,Nairobi,South B,South B,45000,Budget,3,3,90,Unfurnished,Yes,Good,Borehole Backup,Reliable,Fibre,Yes,No,No,No,Yes,No,Yes,Yes,Capital Centre,Good,5.0,Yes,Yes,Medium,Medium,Medium,Yes,Yes,-1.302709,36.82244,"https://www.google.com/maps?q=-1.302709,36.82244","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.302709,36.82244",images/Plainsview Residency - P037.png
P038,Capital Rise Apartments,Rent,Apartment,Nairobi,South B,South B,80000,Mid-range,2,2,85,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Capital Centre,Good,4.3,Yes,Yes,Medium,Low,Medium,Yes,Yes,-1.309337,36.824869,"https://www.google.com/maps?q=-1.309337,36.824869","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.309337,36.824869",images/Capital Rise Apartments - P038.png
P039,Capital Centre Studio,Rent,Apartment,Nairobi,South B,South B,26000,Budget,0,1,35,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,No,Yes,Yes,Capital Centre,Excellent,4.0,No,Yes,High,Medium,Medium,Yes,Yes,-1.301564,36.826766,"https://www.google.com/maps?q=-1.301564,36.826766","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.301564,36.826766",images/Capital Centre Studio - P039.png
P040,Almond Park Suites,Rent,Apartment,Nairobi,South B,South B,29000,Budget,1,1,45,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,No,Yes,Yes,Capital Centre,Good,4.6,No,Yes,Medium,Medium,Medium,Yes,Yes,-1.321054,36.820399,"https://www.google.com/maps?q=-1.321054,36.820399","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.321054,36.820399",images/Almond Park Suites - P040.png
P041,Gateway Heights Syokimau,Rent,Apartment,Nairobi,Syokimau,Syokimau,53000,Budget,2,2,110,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,Yes,Yes,No,Yes,Yes,Yes,No,Gateway Mall,Excellent,18.0,Yes,Yes,Medium,Low,Medium,Yes,Yes,-1.363159,36.928882,"https://www.google.com/maps?q=-1.363159,36.928882","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.363159,36.928882",images/Gateway Heights Syokimau - P041.png
P042,SGR View Residency,Rent,Apartment,Nairobi,Syokimau,Syokimau,80000,Mid-range,3,2,145,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Gateway Mall,Excellent,18.5,Yes,Yes,Medium,Low,Medium,Yes,Yes,-1.362462,36.947935,"https://www.google.com/maps?q=-1.362462,36.947935","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.362462,36.947935",images/SGR View Residency - P042.png
P043,Mombasa Road Court,Rent,Apartment,Nairobi,Syokimau,Mombasa Road,150000,Luxury,4,4,189,Unfurnished,Yes,Excellent,Borehole Backup,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Gateway Mall,Excellent,17.5,Yes,No,High,Medium,Medium,Yes,Yes,-1.368018,36.92758,"https://www.google.com/maps?q=-1.368018,36.92758","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.368018,36.92758",images/Mombasa Road Court - P043.png
P044,Syokimau Rise Apartments,Rent,Apartment,Nairobi,Syokimau,Syokimau,75000,Mid-range,3,3,155,Unfurnished,Yes,Excellent,Borehole Backup,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Gateway Mall,Good,18.2,Yes,Yes,Medium,Low,Medium,Yes,Yes,-1.350074,36.936286,"https://www.google.com/maps?q=-1.350074,36.936286","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.350074,36.936286",images/Syokimau Rise Apartments - P044.png
P045,Syokimau Gardens Townhouses,Rent,House,Nairobi,Syokimau,Syokimau,90000,Mid-range,3,3,169,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Gateway Mall,Good,19.0,Yes,No,Low,Low,High,Yes,Yes,-1.377273,36.922413,"https://www.google.com/maps?q=-1.377273,36.922413","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.377273,36.922413",images/Syokimau Gardens Townhouses - P045.png
P046,Garden Estate Residency,Rent,Apartment,Nairobi,Roysambu,Garden Estate,77000,Mid-range,3,3,130,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Garden City Mall,Excellent,10.5,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.227711,36.886823,"https://www.google.com/maps?q=-1.227711,36.886823","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.227711,36.886823",images/Garden Estate Residency - P046.png
P047,Roysambu Heights Apartments,Rent,Apartment,Nairobi,Roysambu,Garden Estate,50000,Budget,2,2,90,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,Yes,Yes,Yes,TRM Mall,Excellent,11.0,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.207238,36.880665,"https://www.google.com/maps?q=-1.207238,36.880665","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.207238,36.880665",images/Roysambu Heights Apartments - P047.png
P048,Lumumba Drive Suites,Rent,Apartment,Nairobi,Roysambu,Garden Estate,40000,Budget,1,1,55,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,Yes,Yes,No,Yes,Yes,Yes,Yes,TRM Mall,Excellent,11.2,No,Yes,Medium,Medium,Low,Yes,Yes,-1.229094,36.879449,"https://www.google.com/maps?q=-1.229094,36.879449","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.229094,36.879449",images/Lumumba Drive Suites - P048.png
P049,Garden City Residences,Rent,Apartment,Nairobi,Roysambu,Garden Estate,160000,Luxury,3,3,170,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Garden City Mall,Excellent,10.3,Yes,No,Medium,Low,Low,Yes,Yes,-1.201116,36.883873,"https://www.google.com/maps?q=-1.201116,36.883873","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.201116,36.883873",images/Garden City Residences - P049.png
P050,Thome Court Apartments,Rent,Apartment,Nairobi,Roysambu,Thome,60000,Budget,3,2,120,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,Yes,No,Yes,Yes,Yes,Yes,TRM Mall,Good,11.8,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.201868,36.893823,"https://www.google.com/maps?q=-1.201868,36.893823","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.201868,36.893823",images/Thome Court Apartments - P050.png
P051,United Nations Avenue Villa,Sale,House,Nairobi,Gigiri,Gigiri,250000000,Luxury,5,5+,600,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Village Market,Poor,8.5,Yes,No,Low,Low,Low,Yes,Yes,-1.247656,36.812622,"https://www.google.com/maps?q=-1.247656,36.812622","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.247656,36.812622",images/United Nations Avenue Villa - P051.png
P052,Whispers Avenue Manor,Sale,Villa,Nairobi,Gigiri,Whispers Avenue,185000000,Luxury,5,5+,550,Fully,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Village Market,Poor,9.0,Yes,No,Low,Low,Low,Yes,Yes,-1.227549,36.807109,"https://www.google.com/maps?q=-1.227549,36.807109","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.227549,36.807109",images/Whispers Avenue Manor - P052.png
P053,Gigiri Ridge House,Sale,House,Nairobi,Gigiri,Gigiri,150000000,Luxury,6+,5+,700,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Village Market,Poor,8.8,Yes,No,Low,Low,Low,Yes,Yes,-1.239995,36.810229,"https://www.google.com/maps?q=-1.239995,36.810229","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.239995,36.810229",images/Gigiri Ridge House - P053.png
P054,Gichugu Court Apartments,Sale,Apartment,Nairobi,Kileleshwa,Kileleshwa,12200000,Budget,3,3,128,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Kasuku Center,Good,5.5,Yes,No,Medium,Low,Low,Yes,Yes,-1.286653,36.779043,"https://www.google.com/maps?q=-1.286653,36.779043","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.286653,36.779043",images/Gichugu Court Apartments - P054.png
