Property_ID,Property_Name,Listing_Type,Property_Type,County,Estate,Sub_Location,Price_KES,Price_Category,Bedrooms,Bathrooms,Size_SQM,Furnished,Parking,Security_Rating,Water_Supply,Electricity,Internet,Pets_Allowed,Swimming_Pool,Gym,Garden,Balcony,Elevator,School_Nearby,Hospital_Nearby,Shopping_Centre,Public_Transport,Distance_CBD_KM,Family_Friendly,Student_Friendly,Traffic_Level,Noise_Level,Flood_Risk,Gated_Community,CCTV,Latitude,Longitude
P011,Seasons Court Kasarani,Rent,Apartment,Nairobi,Kasarani,Kasarani,15000,Budget,1,1,30,Unfurnished,Yes,Average,Occasional Outages,Occasional Outages,Fibre,No,No,No,No,No,No,No,No,TRM Mall,Excellent,13,No,Yes,High,High,Medium,No,No,-1.212825,36.901944
P012,ICIPE View Apartments,Rent,Apartment,Nairobi,Kasarani,Seasons Road,21000,Budget,1,1,40,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,Yes,No,Yes,Seasons Centre,Excellent,12.5,No,Yes,Medium,Medium,Medium,No,Yes,-1.226792,36.885664
P013,Thika Road Gardens,Rent,House,Nairobi,Kasarani,Off Thika Highway,200000,Luxury,4,4,250,Fully,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Garden City Mall,Excellent,10,Yes,No,High,Low,Medium,Yes,Yes,-1.208284,36.891098
P014,Mwiki Plaza Residences,Rent,Apartment,Nairobi,Kasarani,Off Kasarani-Mwiki Road,35000,Budget,2,2,70,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,No,No,Yes,Naivas Kasarani,Excellent,14,Yes,Yes,High,High,Medium,Yes,Yes,-1.234218,36.883901
P015,Argwings Kodhek Court,Rent,Apartment,Nairobi,Kilimani,Kilimani,90000,Mid-range,3,2,110,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Yaya Centre,Good,5,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.277575,36.789112
P016,Gatundu Heights Kileleshwa,Rent,Apartment,Nairobi,Kileleshwa,Kileleshwa,100000,Mid-range,3,3,160,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Kasuku Center,Good,6,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.265786,36.787892
P017,Valley View Residency,Rent,Apartment,Nairobi,Kileleshwa,Kileleshwa,85000,Mid-range,2,2,110,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Kasuku Center,Good,5.8,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.273913,36.795193
P018,Gatundu Road Court,Rent,Apartment,Nairobi,Kileleshwa,Gatundu Road,200000,Luxury,3,3,180,Unfurnished,Yes,Excellent,Borehole Backup,Backup Generator,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Kasuku Center,Good,5.5,Yes,No,Medium,Low,Low,Yes,Yes,-1.278644,36.782561
P019,Elgeyo Marakwet Duplexes,Rent,Apartment,Nairobi,Kileleshwa,Kileleshwa,300000,Luxury,5,5+,320,Unfurnished,Yes,Excellent,Borehole Backup,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Lavington Mall,Good,6.2,Yes,No,Medium,Low,Medium,Yes,Yes,-1.265118,36.784556
P020,Kileleshwa Heights Suite,Rent,Apartment,Nairobi,Kileleshwa,Kileleshwa,55000,Budget,1,1,55,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,Yes,No,Yes,Yes,Yes,Yes,Kasuku Center,Excellent,5.2,No,Yes,Medium,Medium,Low,Yes,Yes,-1.264149,36.783321
P021,Runda Meadows Villa,Sale,Villa,Nairobi,Runda,Runda,350000000,Luxury,4,5+,800,Unfurnished,Yes,Excellent,Borehole Backup,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Village Market,Poor,10,Yes,No,Low,Low,Low,Yes,Yes,-1.211863,36.801375
P022,Mimosa Court Runda,Sale,House,Nairobi,Runda,Runda,135000000,Luxury,4,5+,450,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Two Rivers Mall,Poor,11.5,Yes,No,Low,Low,Low,Yes,Yes,-1.226163,36.808682
P023,Faith Avenue Manor,Sale,Villa,Nairobi,Runda,Faith Avenue,96500000,Luxury,5,5+,450,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Village Market,Poor,9.5,Yes,No,Low,Low,Low,Yes,Yes,-1.230606,36.806984
P024,Paradise Lost Villas,Sale,House,Nairobi,Runda,Paradise Lost,55000000,Mid-range,4,4,300,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Ciata City Mall,Poor,13,Yes,No,Low,Low,Low,Yes,Yes,-1.22997,36.808339
P025,Mae Ridge Townhouses,Sale,House,Nairobi,Runda,Runda,38000000,Mid-range,4,4,280,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Two Rivers Mall,Poor,12,Yes,No,Low,Low,Low,Yes,Yes,-1.213929,36.810945
P026,The Alma Apartments,Rent,Apartment,Nairobi,Ruaka,Ruaka,55000,Budget,2,2,85,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Rivers Mall,Good,14,Yes,Yes,High,High,Low,Yes,Yes,-1.199895,36.767285
P027,Ruaka Square Studios,Rent,Apartment,Nairobi,Ruaka,Ruaka,70000,Mid-range,0,1,45,Fully,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Rivers Mall,Good,13.5,No,Yes,High,High,Low,Yes,Yes,-1.202991,36.7891
P028,Heritage Heights Ruaka,Rent,House,Nairobi,Ruaka,Ruaka,150000,Mid-range,4,4,260,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Two Rivers Mall,Good,15,Yes,No,Medium,Low,Low,Yes,Yes,-1.191559,36.779274
P029,Runda View Residency,Rent,Apartment,Nairobi,Ruaka,Mbaya Drive,45300,Budget,2,2,80,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,Yes,Yes,No,Two Rivers Mall,Good,14.5,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.205866,36.782874
P030,Temus Road Court,Rent,Apartment,Nairobi,Ruaka,Temus Road,51000,Budget,3,2,100,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,Yes,Yes,No,Two Rivers Mall,Good,14.2,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.206098,36.772384
P031,Lavington Green Villas,Rent,House,Nairobi,Lavington,Lavington Green,250000,Luxury,4,4,350,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Lavington Mall,Good,7,Yes,No,Medium,Low,Low,Yes,Yes,-1.269314,36.7682
P032,Gitanga Duplexes Lavington,Rent,House,Nairobi,Lavington,Lavington,420000,Luxury,5,5+,480,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Lavington Mall,Good,7.5,Yes,No,Medium,Low,Medium,Yes,Yes,-1.282292,36.769538
P033,Valley Arcade Residency,Rent,Apartment,Nairobi,Lavington,Lavington,95000,Mid-range,2,2,100,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Valley Arcade,Good,6.8,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.273714,36.77228
P034,Lavington Heights Apartments,Rent,Apartment,Nairobi,Lavington,Lavington,170000,Luxury,3,2,140,Unfurnished,Yes,Good,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Lavington Mall,Good,7.2,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.292129,36.749963
P035,Sore Road Suites,Rent,Apartment,Nairobi,South B,Sore Rd,35000,Budget,1,1,50,Unfurnished,Yes,Good,Borehole Backup,Reliable,Fibre,Yes,No,No,No,Yes,No,Yes,Yes,Capital Centre,Good,4.5,No,Yes,Medium,Medium,High,Yes,Yes,-1.319536,36.821032
P036,Golden Gate Court South B,Rent,Apartment,Nairobi,South B,South B,40000,Budget,2,2,75,Unfurnished,Yes,Good,Borehole Backup,Reliable,Fibre,Yes,No,No,No,Yes,No,Yes,Yes,Capital Centre,Good,4.8,Yes,Yes,Medium,Medium,High,Yes,Yes,-1.322671,36.841287
P037,Plainsview Residency,Rent,Apartment,Nairobi,South B,South B,45000,Budget,3,3,90,Unfurnished,Yes,Good,Borehole Backup,Reliable,Fibre,Yes,No,No,No,Yes,No,Yes,Yes,Capital Centre,Good,5,Yes,Yes,Medium,Medium,Medium,Yes,Yes,-1.302709,36.82244
P038,Capital Rise Apartments,Rent,Apartment,Nairobi,South B,South B,80000,Mid-range,2,2,85,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Capital Centre,Good,4.3,Yes,Yes,Medium,Low,Medium,Yes,Yes,-1.309337,36.824869
P039,Capital Centre Studio,Rent,Apartment,Nairobi,South B,South B,26000,Budget,0,1,35,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,No,Yes,Yes,Capital Centre,Excellent,4,No,Yes,High,Medium,Medium,Yes,Yes,-1.301564,36.826766
P040,Almond Park Suites,Rent,Apartment,Nairobi,South B,South B,29000,Budget,1,1,45,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,No,Yes,Yes,Capital Centre,Good,4.6,No,Yes,Medium,Medium,Medium,Yes,Yes,-1.321054,36.820399
P041,Gateway Heights Syokimau,Rent,Apartment,Nairobi,Syokimau,Syokimau,53000,Budget,2,2,110,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,Yes,Yes,No,Yes,Yes,Yes,No,Gateway Mall,Excellent,18,Yes,Yes,Medium,Low,Medium,Yes,Yes,-1.363159,36.928882
P042,SGR View Residency,Rent,Apartment,Nairobi,Syokimau,Syokimau,80000,Mid-range,3,2,145,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Gateway Mall,Excellent,18.5,Yes,Yes,Medium,Low,Medium,Yes,Yes,-1.362462,36.947935
P043,Mombasa Road Court,Rent,Apartment,Nairobi,Syokimau,Mombasa Road,150000,Luxury,4,4,189,Unfurnished,Yes,Excellent,Borehole Backup,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Gateway Mall,Excellent,17.5,Yes,No,High,Medium,Medium,Yes,Yes,-1.368018,36.92758
P044,Syokimau Rise Apartments,Rent,Apartment,Nairobi,Syokimau,Syokimau,75000,Mid-range,3,3,155,Unfurnished,Yes,Excellent,Borehole Backup,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Gateway Mall,Good,18.2,Yes,Yes,Medium,Low,Medium,Yes,Yes,-1.350074,36.936286
P045,Syokimau Gardens Townhouses,Rent,House,Nairobi,Syokimau,Syokimau,90000,Mid-range,3,3,169,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Gateway Mall,Good,19,Yes,No,Low,Low,High,Yes,Yes,-1.377273,36.922413
P046,Garden Estate Residency,Rent,Apartment,Nairobi,Roysambu,Garden Estate,77000,Mid-range,3,3,130,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Garden City Mall,Excellent,10.5,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.227711,36.886823
P047,Roysambu Heights Apartments,Rent,Apartment,Nairobi,Roysambu,Garden Estate,50000,Budget,2,2,90,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,Yes,Yes,Yes,TRM Mall,Excellent,11,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.207238,36.880665
P048,Lumumba Drive Suites,Rent,Apartment,Nairobi,Roysambu,Garden Estate,40000,Budget,1,1,55,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,Yes,Yes,No,Yes,Yes,Yes,Yes,TRM Mall,Excellent,11.2,No,Yes,Medium,Medium,Low,Yes,Yes,-1.229094,36.879449
P049,Garden City Residences,Rent,Apartment,Nairobi,Roysambu,Garden Estate,160000,Luxury,3,3,170,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Garden City Mall,Excellent,10.3,Yes,No,Medium,Low,Low,Yes,Yes,-1.201116,36.883873
P050,Thome Court Apartments,Rent,Apartment,Nairobi,Roysambu,Thome,60000,Budget,3,2,120,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,Yes,No,Yes,Yes,Yes,Yes,TRM Mall,Good,11.8,Yes,Yes,Medium,Medium,Low,Yes,Yes,-1.201868,36.893823
P051,United Nations Avenue Villa,Sale,House,Nairobi,Gigiri,Gigiri,250000000,Luxury,5,5+,600,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Village Market,Poor,8.5,Yes,No,Low,Low,Low,Yes,Yes,-1.247656,36.812622
P052,Whispers Avenue Manor,Sale,Villa,Nairobi,Gigiri,Whispers Avenue,185000000,Luxury,5,5+,550,Fully,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Village Market,Poor,9,Yes,No,Low,Low,Low,Yes,Yes,-1.227549,36.807109
P053,Gigiri Ridge House,Sale,House,Nairobi,Gigiri,Gigiri,150000000,Luxury,6+,5+,700,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Village Market,Poor,8.8,Yes,No,Low,Low,Low,Yes,Yes,-1.239995,36.810229
P054,Gichugu Court Apartments,Sale,Apartment,Nairobi,Kileleshwa,Kileleshwa,12200000,Budget,3,3,128,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Kasuku Center,Good,5.5,Yes,No,Medium,Low,Low,Yes,Yes,-1.286653,36.779043
P055,Lantana Court Kileleshwa,Sale,Apartment,Nairobi,Kileleshwa,Kileleshwa,9000000,Budget,3,3,120,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Kasuku Center,Good,5.8,Yes,No,Medium,Low,Low,Yes,Yes,-1.276388,36.794614
P056,Lavington Court Apartments,Sale,Apartment,Nairobi,Lavington,Lavington,13000000,Budget,4,4,160,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Lavington Mall,Good,7.2,Yes,No,Medium,Low,Low,Yes,Yes,-1.272724,36.756902
P057,Runda Whispers Villa,Sale,House,Nairobi,Runda,Runda,90000000,Luxury,4,4,450,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Two Rivers Mall,Poor,11,Yes,No,Low,Low,Low,Yes,Yes,-1.217982,36.80536
P058,Sifa Towers Suites,Sale,Apartment,Nairobi,Kilimani,Off Waiyaki Rd,9460000,Budget,1,1,59,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yaya Centre,Excellent,4.2,No,Yes,Medium,Medium,Low,Yes,Yes,-1.275621,36.797116
P059,Nyangumi Road Residency,Sale,Apartment,Nairobi,Kilimani,Off Nyangumi Rd,15000000,Mid-range,2,2,95,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yaya Centre,Good,4.6,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.294047,36.790168
P060,Yaya Court Apartments,Sale,Apartment,Nairobi,Kilimani,Off Nyangumi Rd,11600000,Budget,1,1,66,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yaya Centre,Good,4.8,No,Yes,Medium,Low,Low,Yes,Yes,-1.284731,36.775585
P061,Oloitokitok Road Residency,Sale,Apartment,Nairobi,Kileleshwa,Kileleshwa,7000000,Budget,2,2,80,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Kasuku Center,Good,5.6,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.267125,36.782181
P062,Mandera Road Apartments,Sale,Apartment,Nairobi,Kileleshwa,Kileleshwa,3000000,Budget,1,1,50,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,Yes,Yes,Yes,Kasuku Center,Good,5.4,No,Yes,Medium,Medium,Low,Yes,Yes,-1.266641,36.781911
P063,Njumbi Lane Townhouses,Rent,House,Nairobi,Lavington,Njumbi Lane,400000,Luxury,5,5+,400,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Lavington Mall,Good,7,Yes,No,Low,Low,Low,Yes,Yes,-1.298983,36.758725
P064,Riverside Square Residency,Rent,Apartment,Nairobi,Westlands,Riverside,250000,Luxury,3,3,245,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Riverside Square,Good,3.4,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.280416,36.812873
P065,Riverside Drive Heights,Rent,Apartment,Nairobi,Westlands,Riverside Drive,120000,Mid-range,3,3,160,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Riverside Square,Good,3.2,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.254638,36.80995
P066,Waiyaki Way Villas,Rent,Maisonette,Nairobi,Westlands,Westlands Area,175000,Luxury,4,4,280,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Sarit Centre,Excellent,3.1,Yes,No,Medium,Low,Low,Yes,Yes,-1.271775,36.786738
P067,Elite Gardens Westlands,Rent,Apartment,Nairobi,Westlands,Westlands Area,220000,Luxury,3,3,300,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Westgate Mall,Good,3.5,Yes,Yes,High,Medium,Low,Yes,Yes,-1.25466,36.813408
P068,Parklands Duplex Residency,Rent,Apartment,Nairobi,Westlands,Parklands,200000,Luxury,5,5+,350,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Sarit Centre,Excellent,4,Yes,No,High,Medium,Low,Yes,Yes,-1.27843,36.79958
P069,Rosslyn Heights Suites,Rent,Apartment,Nairobi,Westlands,Rosslyn,90000,Mid-range,1,1,75,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Village Market,Poor,9.2,No,Yes,Low,Low,Low,Yes,Yes,-1.278924,36.807818
P070,Spring Valley Manor,Rent,Maisonette,Nairobi,Westlands,Spring Valley,280000,Luxury,4,4,320,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Sarit Centre,Good,5.2,Yes,No,Low,Low,Low,Yes,Yes,-1.258025,36.788852
P071,Mathenge Plaza Residency,Rent,Apartment,Nairobi,Westlands,Westlands Area,160000,Luxury,3,3,180,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Westgate Mall,Good,3.8,Yes,No,Medium,Low,Low,Yes,Yes,-1.266742,36.801494
P072,Windward Court Apartments,Rent,Apartment,Nairobi,Embakasi,Mombasa Road,60000,Mid-range,2,2,85,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Gateway Mall,Excellent,15,Yes,Yes,High,Medium,Medium,Yes,Yes,-1.322048,36.906173
P073,Runda Crescent Townhouses,Rent,Maisonette,Nairobi,Runda,Runda,650000,Luxury,4,4,380,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Village Market,Poor,10.5,Yes,No,Low,Low,Low,Yes,Yes,-1.220306,36.806354
P074,Lavington Road Court,Rent,Maisonette,Nairobi,Lavington,Lavington Road,350000,Luxury,4,4,360,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Lavington Mall,Good,7.1,Yes,No,Low,Low,Low,Yes,Yes,-1.282821,36.770898
P075,Gitanga Manor Lavington,Rent,Maisonette,Nairobi,Lavington,Gitanga Road,250000,Luxury,6+,5+,450,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Lavington Mall,Good,7.3,Yes,No,Medium,Low,Low,Yes,Yes,-1.292965,36.758351
P076,Lavington Green Court,Rent,Maisonette,Nairobi,Lavington,Lavington Green,250000,Luxury,4,4,340,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Lavington Mall,Good,6.9,Yes,No,Medium,Low,Low,Yes,Yes,-1.269146,36.768496
P077,Sarit View Apartments,Sale,Apartment,Nairobi,Westlands,Westlands,20500000,Mid-range,3,2,156,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Sarit Centre,Excellent,3.2,Yes,No,High,Medium,Low,Yes,Yes,-1.267857,36.800527
P078,Westgate Plaza Suites,Sale,Apartment,Nairobi,Westlands,Westlands,9900000,Budget,1,1,90,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Westgate Mall,Excellent,3,No,Yes,High,Medium,Low,Yes,Yes,-1.27737,36.791741
P079,Brookside Gardens Suites,Sale,Apartment,Nairobi,Westlands,Brookside,7500000,Budget,1,1,72,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Sarit Centre,Good,4.1,No,Yes,Medium,Low,Low,Yes,Yes,-1.270857,36.802649
P080,Brookside Drive Villas,Sale,House,Nairobi,Westlands,Brookside,48000000,Mid-range,3,3,350,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,Sarit Centre,Good,4.3,Yes,No,Low,Low,Low,Yes,Yes,-1.274097,36.791607
P081,Parklands Third Avenue Apartments,Sale,Apartment,Nairobi,Westlands,Parklands,25000000,Mid-range,5,4,350,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,No,No,No,Yes,Yes,Yes,Yes,Sarit Centre,Excellent,3.9,Yes,No,High,Medium,Low,Yes,Yes,-1.27887,36.803933
P082,Gichugu Heights Apartments,Sale,Apartment,Nairobi,Kileleshwa,Kileleshwa,7500000,Budget,1,1,74,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Kasuku Center,Good,5.5,No,Yes,Medium,Low,Low,Yes,Yes,-1.283132,36.793163
